channelId,customUrl,title,description,country,viewCount,subscriberCount,videoCount,madeForkids,creationDate
UCFmL725KKPx2URVPvH3Gp8w,@asmrglow,ASMR Glow,"Here's everywhere you can find me: https://linktr.ee/asmrglow

My other channel: https://www.youtube.com/channel/UC5df6R3eauFbM9fSf-6St7A",US,579354212,1720000,736,False,2016-10-24T08:22:54Z
UCvp9ypbbOQ2-vtuO-J3k-lw,@alexandriaasmr8317,Alexandria ASMR,"ASMR - Autonomous sensory meridian response. It typically refers to the ""tingly feeling"" that travels from the head downward that some experience in response to certain sounds, feelings, or descriptions.

Main ASMR Triggers: Whispers, Tapping, Scratching, Makeup GRWMs, Fast & aggressive triggers, Face touching, Personal attention, Camera Tapping, Camera Scratching, Mic brushing, Roleplays.",US,108539091,548000,295,False,2018-10-16T19:45:42Z
UCrZyUPCnPgPDFNzawuI2QVA,@asmrjas,ASMR Jas,"Hey, my name is Jas :)
I stumbled across ASMR after a sleepless night 7 years ago, and have been working hard to create this channel into a safe space for me and you. I do ASMR to help myself relax - join the family if you enjoy roleplays, cinematic visuals, or just like the tingles ✨💜

MILESTONES 🏆 
06/19/2020 - First video
07/29/2020 - 100 subscribers
08/25/2020 - 1K subscribers
11/14/2020 - 10K subscribers
07/07/2021 - 50K subscribers
11/02/2021 - 100K subscribers
08/01/2021 - 150K subscribers
04/02/2022 - 200K subscribers
08/06/2022 - 250K subscribers
01/02/2023 - 300K subscribers",CA,28304876,313000,60,False,2020-05-03T02:20:06.799314Z
UCNkX5VXtTe4Clkogm6h6QWA,@gingerasmr,Ginger ASMR,"Hello there! My name's Megan and welcome to my ASMR channel!🤗

A little bit about me is that I love getting to dress up, do roleplays and generally just be creative and silly! I've found YouTube is a great outlet for this - I live to be happy and I hope through my content I can help others to relax, tingle and smile along the way😊

I appreciate every single one of you for clicking on my videos and watching! If you want to see more please subscribe and hit that notification bell so you never miss another video. 

I upload videos every Wednesday!

Feel free to check out my links below for exclusive very NSFW videos released every week!
https://linktr.ee/gingerasmr

💖💖Thanks for your support and have a wonderful week everybody!💖💖",US,56191711,241000,233,False,2019-01-12T22:57:14Z
UCikebqFWoT3QC9axUbXCPYw,@theasmrdarling,ASMR Darling,"Hello and welcome to my ASMR Youtube channel! What is ASMR? ""Autonomous Sensory Meridian Response (ASMR) is a term used for an experience characterized by a static-like or tingling sensation on the skin that typically begins on the scalp and moves down the back of the neck and upper spine."" 

ASMR videos are meant to trigger the amazing 'tingly' feeling to help you sleep. Or just to help you simply relax and fall asleep! sleep sleep sleep..

My Main ASMR Triggers: Ear to Ear Whisper, Tapping, Scratching, Affirmations, Compliments, Roleplay, Hair Play, Hair Brushing, Personal Attention, Close up, Words, Face touching, Camera touching, Microphone brushing.",US,615078281,2520000,269,False,2014-12-11T04:12:54Z
UCRB4EDyK-BIwIVhdSJbwQRA,@dongasmr,Dong ASMR,"Just a guy who makes asmr videos in a
weird/relaxing/story-telling way",SG,131766464,678000,448,False,2019-08-03T08:15:33Z
UCmZb4LwQRhEzZX5Uqpcqziw,@coromosaraasmr,Coromo Sara. ASMR,"Hello there ! Welcome to my channel 🐱💖 I'm Japanese ASMR video creator, Coromo Sara 🇯🇵

[ASMR：Autonomous Sensory Meridian Response]

My ASMR videos are whispering, no talking, tapping, scratching, brushing, ear cleaning, ear massage, and more 🫠🫧

I hope my videos will bring you relaxation and help you sleep 😴🌙✨

୨୧┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈୨୧

⭐ My ASMR videos：YouTube / TikTok

🎀 Social media：
・Twitter：@Coromo_xx
・Instagram：@coromo.asmr
・TikTok：@coromosara

✉️ Contact：
coromo.asmr.xx@gmail.com
",JP,393283355,1850000,375,False,2017-09-26T04:14:14Z
UCqFbF_CD2CJ_jwiQCfCJqEQ,@madiasmr,Madi ASMR,"ASMR Videos That Will Give You Tingles, Help You Sleep & Relax! 
My name is Madi and I make ASMR videos with whispering, soft sounds, brushing, tapping, roleplays & more! I hope you enjoy.",US,106141181,472000,348,False,2018-12-03T01:15:06Z
UC4YDVivhPsOEuyl1-WwLA-w,@fredsvoice,FredsVoice ASMR,"Hello there! Welcome to my ASMR channel. Here on FREDSVOICE I endeavour to create relaxing videos for you to enjoy and feel the great sensation characterized as ASMR! 

Check out the links associated with my channel: 

◄►🎧 SPOTIFY: [NEW TRACKS UPLOADED]
https://open.spotify.com/album/4mjDPOzTZPR9RcsEuFwRjb?highlight=spotify:track:46kWbGxanXYyHFxN5RnAQj
◄►📸 INSTAGRAM: 
https://www.instagram.com/fredsvoiceasmr/
◄►💪🏻 MERCH: 
https://teespring.com/en-GB/stores/fredsvoice
◄►🐦TWITTER: 
https://twitter.com/FREDSVOICE 
◄►🤝🏻 PATREON:
 https://www.patreon.com/fredsvoice
◄►🎁 AMAZON W.L: https://www.amazon.co.uk/hz/wishlist/ls/XLLS975Z9WP8",GB,344666586,1750000,522,False,2011-05-23T22:44:28Z
UC6gLlIAnzg7eJ8VuXDCZ_vg,@gentlewhisperingasmr,Gentle Whispering ASMR,"~• ASMR / TINGLES ~•~ WHISPER ~•~ COMFORTING ~•~ RELAXATION / MEDITATION ~•~ NATURAL SLEEP AID ~•~ SOOTHING VOICE / SOUND THERAPY•~
  In this world of stress and chaos I wish my channel to be your secret island of relaxation and peace. I'm here to comfort you, to share my love and care with you, to make you feel relaxed and stress free through creative and soothing videos. Let me try and keep you company at hard times, let me calm you down and help you sleep on restless nights, let me be your friend and be a trigger for your tingles ( ASMR ) or simply help you find beauty and peace in places you might have never thought of looking. ♥ 

My Second Channel for Vlogs and behind the scenes: https://www.youtube.com/SassyMashaVlogs",US,1047007476,2230000,646,False,2011-02-24T21:58:24Z
